Name,Formula,T/K,Cp¡ã,S¡ã, -[G¡ã-H¡ã(Tr)]/T,H-H¡ã(Tr),fH¡ã,fG¡ã,log Kf
Sulfuric Acid (O2S(OH)2),"H2O4S1(cr,l)",298.15,138.584,156.895,156.895,0.,-813.989,-689.918,120.871
Sulfuric Acid (O2S(OH)2),H2O4S1(g),298.15,83.761,298.796,298.796,0.,-735.129,-653.366,114.467
Potassium Hydride (KH),H1K1(g),298.15,31.036,198.024,198.024,0.,123.010,102.731,-17.998
Tungstic Acid (O2W(OH)2),H2O4W1(cr),298.15,112.633,144.766,144.766,0.,-1131.772,-1003.905,175.880
Hydrogen Sulfide (H2S),H2S1(g),298.15,34.192,205.757,205.757,0.,-20.502,-33.329,5.839
Ammonia (NH3),H3N1(g),298.15,35.652,192.774,192.774,0.,-45.898,-16.367,2.867
Tungstic Acid (O2W(OH)2),H2O4W1(g),298.15,102.527,351.999,351.999,0.,-905.836,-839.756,147.122
Titanium Hydride (TiH2),H2Ti1(cr),298.15,30.087,29.711,29.711,0.,-144.348,-105.073,18.408
"Magnesium Hydroxide, Ion (MgOH+)",H1Mg1O1+(g),298.15,43.216,220.824,220.824,0.,584.421,572.132,-100.235
Imidogen (NH),H1N1(g),298.15,29.147,181.253,181.253,0.,376.560,370.565,-64.921
"Nitrous Acid, Cis (HONO)",H1N1O2(g),298.15,45.354,249.416,249.416,0.,-76.735,-41.888,7.339
Sodium Hydride (NaH),H1Na1(cr),298.15,36.392,40.016,40.016,0.,-56.442,-33.551,5.878
Phosphoric Acid (H3PO4),H3O4P1(l),298.15,145.047,150.775,150.775,0.,-1271.663,-1123.597,196.849
Phosphino (PH2),H2P1(g),298.15,34.774,212.652,212.652,0.,125.938,120.979,-21.195
Phosphoric Acid (H3PO4),"H3O4P1(cr,l)",298.15,106.064,110.544,110.544,0.,-1284.375,-1124.314,196.975
