CAS,Comment,Formula,IE,Method,Name,Refer
 73321-24-1,, C,7.9,PE,Tricyclo[5.2.2.0,"Bohm, Carr, et al., 1980"
 4912-92-9,RDSH, C,8.47,CTS,"1H-Indene, 2,3-dihydro-1,1-dimethyl-","Pitt, 1970"
 2170-06-1,LLK, C,8.3,PE,"Silane, trimethyl(phenylethynyl)-","Elbel, Lienert, et al., 1981"
 700-88-9, , C,7.9,EI,"Benzene, cyclopentyl-","Mikaya, Zaikin, et al., 1979"
 75503-14-9,LLK, C,8.2,PE,"Bicyclo[2.2.1]heptane-2,5-dithione, 3,3,6,6-tetramethyl-","Frost, Westwood, et al., 1980"
 7439-10-3,Vertical value; , C,8.31,PE,"Benzene, 1-[(1,1-dimethylethyl)thio]-4-methyl-","Dewar, Ernstbrunner, et al., 1974"
 7252-86-0,Vertical value; , C,7.83 ¡À 0.05,PE,"Benzene,1-(1,1-dimethylethyl)-4-(methylthio)-","Colonna, Danieli, et al., 1976"
 34786-26-0,Vertical value; , C,8.35,PE,tert-Butyl m-Tolyl sulfide,"Dewar, Ernstbrunner, et al., 1974"
 54576-42-0, , C,8,PE,"Benzene, [2-[(1-methylethyl)thio]ethyl]-","Glass, Broeker, et al., 1989"
 769-25-5,Vertical value, C,8.33,PE,"Benzene, 2-ethenyl-1,3,5-trimethyl-","Kobayashi, Yokota, et al., 1973"
 826-18-6,, C,8.4 ¡À 0.07,EI,"Benzene, 1-pentenyl-","Schwarz, Wesdemiotis, et al., 1975"
 1075-16-7,RDSH, C,9.10 ¡À 0.05,EI,"5H-Benzocycloheptene,6,7,8,9-tetrahydro-","Meier, Heiss, et al., 1968"
 53666-30-1,, C,6.4 ¡À 0.1,EI,"Methanimidamide,N'-[2-chloro-4-(dimethylamino)phenyl]-N,N-dimethyl-","Kuschel and Grutzmacher, 1974"
 53666-39-0,, C,6.4 ¡À 0.1,EI,"Methanimidamide,N'-[2-chloro-5-(dimethylamino)phenyl]-N,N-dimethyl-","Kuschel and Grutzmacher, 1974"
 7306-05-0,, C,8.1,EI,1-Methyl-1-phenylcyclobutane,"Mikaya, Zaikin, et al., 1979"
 20836-11-7,RDSH, C,8.47,CTS,"2,2-Dimethylindene, 2,3-dihydro-","Pitt, 1970"
 36439-90-4,Vertical value, C,8.38 ¡À 0.03,PE,"Tricyclo[3.2.2.0<sup>2,4</sup>]nonane,6,7-bis(methylene)-(1&#945;,2&#946;,4&#946;,5&#945;)-","Pfeffer, Klessinger, et al., 1975"
 49542-94-1,Vertical value; , C,7.87,PE,"Spiro[2.4]hepta-1,4,6-triene, 1,2-diethyl-","Bischof, Gleiter, et al., 1976"
 58738-49-1,LBLHLM, C,8.25,PE,"Dispiro[2.0.2.5]undeca-1,5-diene","Spanget-Larsen, de Korswagen, et al., 1982"
 73586-31-9, , C,7.5,PE,"2,4-Methano-2,4-didehydroadamantane","Eckert-Maksic, Mlinaric-Majerski, et al., 1987"
 70469-89-5, , C,8.6,PE,"Pentacyclo[3.3.3.0<sup>2,4</sup>.0<sup>6,8</sup>.0<sup>9.11</sup>]undecane, stereoisomer","Gleiter, Bohm, et al., 1983"
 33701-58-5,, C,7.9,PE,Tricyclo[3.2.1.0,"Heilbronner and Martin, 1972"
 50462-84-5,Vertical value, C,8.7,PE,"Benzene,(1-ethylcyclopropyl)-","Prins, Verhoeven, et al., 1977"
 89922-46-3, , C,6.8,PE,"Manganese, (1,2,3-¦Ç","Green, Paz-Sandoval, et al., 1985"
 98-51-1, , C,8.28 ¡À 0.02,EI,4-tert-Butyltoluene,"Orlov, Misharev, et al., 1986"
 700-12-9,LBLHLM, C,7.92,PE,"Benzene, pentamethyl-","Howell, Goncalves, et al., 1984"
 1595-04-6,LLK, C,8.4 ¡À 0.1,EI,"Benzene, 1-butyl-3-methyl-","Lightner, Majeti, et al., 1972"
 1595-05-7,LLK, C,8.4 ¡À 0.1,EI,"Benzene, 1-methyl-4-butyl","Lightner, Majeti, et al., 1972"
 1007-26-7,RDSH, C,8.41 ¡À 0.04,EI,"Benzene, (2,2-dimethylpropyl)-","Bock, Seidl, et al., 1968"
 74684-31-4,Vertical value, C,7.57,PE,"Iridium, (1,1,1-trifluoro-2,4-pentanedionato-o,o'-)-bis¦Ç","Van Dam, Terpstra, et al., 1980"
 60917-67-1,LLK, C,7.4,PE,"Benzeneethanamine-5-bromo-2,4-dimethoxy-¦Á-methyl","Domelsmith, Eaton, et al., 1981"
